CarID,Brand,model,transmission,fuelType,year,mileage,tax,mpg,engineSize,paintQuality%,previousOwners,price
1186,VW, Polo,Manual,Petrol,2019.0,5000.0,145.0,48.7,1.0,96.0,2.0,13500
2002,Ford, C-MAX,Manual,Petrol,2017.0,11319.0,145.0,55.4,1.0,74.0,0.0,12495
3849,Audi, a5,Manual,Petrol,2019.0,10.0,145.0,37.7,2.0,75.0,1.0,30990
-180,Ford, Fiesta,anual,Petrol,,30925.0,145.0,65.7,1.0,125.10995148245615,1.0,9498
3505,BMW, X2,Semi-Auto,Diesel,2019.0,6950.0,145.0,58.9,2.0,33.0,0.0,28150
350,Ford, Focus,Manual,Petrol,2015.0,51103.0,240.0,39.2,2.0,92.0,3.0,12298
-317,Ford, Focus,Automatic,Petrol,2019.0,2986.0,-45.78061048970173,,1.0,33.0,3.0,18991
-294,ford, Fiesta,Manual,Petrol,2017.0,27667.0,145.0,64.2,1.1,,1.0,9240
2603,Hyundai, Tucson,Manual,Diesel,2017.0,30085.0,,61.4,1.7,45.0,4.0,14590
2298,, Q3,Manual,Petrol,2017.0,36102.0,145.0,49.6,1.4,84.0,3.0,16500
2284,Skoda, Roomster,Automatic,Petrol,2007.0,99700.0,,,1.6,73.0,2.0,2995
2710,Skoda, Kodiaq,Automatic,Petrol,2019.0,10.0,150.0,,1.5,65.0,3.0,28495
1041,Opel, Insignia,Manual,Petrol,2017.0,25000.0,145.0,47.1,1.5,98.0,1.0,11699
8,Ford, Fiesta,Manual,Petrol,2017.0,18934.0,125.0,54.3,1.2,34.0,0.0,8291
1650,Audi, A3,Automatic,Diesel,2019.0,1235.0,145.0,52.3,1.6,43.0,1.0,22795
2321,Mercedes, C Class,Manual,Petrol,2013.0,74000.0,160.0,44.1,1.6,50.0,2.0,8990
1149,Mercedes, E Class,Semi-Auto,Diesel,2017.0,,160.0,52.3,3.0,73.0,4.0,21498
871,BMW, 7 Series,Semi-Auto,Diesel,2019.0,6249.0,145.0,42.2,3.0,47.0,0.0,46500
-522,AUDI, Q2,Semi-Auto,Diesel,2020.0,2142.0,145.0,44.8,2.0,57.0,1.0,30995
1351,Mercedes, GLE Class,Automatic,Diesel,2017.0,17022.0,,47.9,2.1,46.0,4.0,27645
3011,BMW, X5,Automatic,Diesel,2016.0,,205.0,47.1,3.0,67.0,1.0,28990
2728,Toyota, Aygo,Manual,Petrol,2009.0,28230.0,20.0,62.8,1.0,50.0,3.0,4050
1534,Audi, Q3,Manual,Diesel,2013.0,70000.0,145.0,54.3,2.0,56.0,3.0,9649
2395,Skoda, Yeti Outdoor,Semi-Auto,Petrol,2017.0,32443.0,145.0,,1.2,78.0,1.0,14750
415,Ford, Focus,Manual,Petrol,2018.0,2596.0,145.0,,1.0,36.0,0.0,16479
668,Mercedes, C Class,Automatic,Petrol,2018.0,23280.0,150.0,48.7,2.0,72.0,4.0,19000
-40,ford, Ka+,Manual,Petrol,2019.0,48.0,145.0,47.9,1.2,35.0,0.0,11950
869,Toyota, Aygo,Manual,Petrol,2015.0,16999.0,0.0,,1.0,37.0,0.0,6790
2416,Audi, Q7,Automatic,Diesel,2016.0,53801.0,200.0,47.9,3.0,65.0,2.0,25930
1183,Mercedes, C Class,Semi-Auto,Diesel,2013.0,77718.0,30.0,64.2,2.1,52.0,3.0,7495
135,BMW, 3 Series,Manual,Petrol,2017.0,41732.0,145.0,48.7,2.0,92.0,4.0,12750
-307,Ford, Kuga,Manual,Petrol,2019.0,6689.0,-45.78061048970173,35.3,1.5,98.0,2.0,19499
3360,BMW, 3 Series,Semi-Auto,Diesel,2019.0,4025.0,150.0,,3.0,55.0,0.0,38980
642,BMW, 2 Series,Semi-Auto,Petrol,2016.0,29139.0,205.0,39.8,3.0,57.0,2.0,19999
179,Audi, A1,Manual,Diesel,2015.0,40011.0,0.0,80.7,1.6,88.0,4.0,8990
1038,Ford, Fiesta,Manual,Petrol,2019.0,7942.0,145.0,56.5,1.0,86.0,,12698
443,Opel, Grandland X,Manual,Petrol,2019.0,19800.0,145.0,44.1,1.2,96.0,4.0,18495
746,Mercedes, C Class,Automatic,Petrol,2019.0,6902.0,,45.6,1.5,40.0,3.0,26500
1024,Opel, Corsa,Manual,Petrol,2015.0,29188.0,125.0,,1.4,86.0,0.0,7140
2827,Opel, Corsa,Automatic,Petrol,2017.0,6389.0,145.0,47.1,1.4,59.0,0.0,11420
1769,Ford, Ka+,Manual,Petrol,2018.0,11128.0,145.0,57.7,1.2,78.0,0.0,8311
977,Ford, Fiesta,Manual,Petrol,2015.0,12647.0,0.0,,1.0,,0.0,8295
3790,Opel, Astra,Manual,Petrol,2013.0,43341.0,165.0,44.8,1.6,64.0,3.0,5999
-242,Ford, Fiesta,unknown,Petrol,2006.0,63100.0,160.0,47.1,1.2,44.0,1.0,2395
1967,Ford, Fiesta,Manual,Petrol,2017.0,18342.0,150.0,65.7,1.0,,4.0,9500
3725,Mercedes, C Class,Semi-Auto,Diesel,2017.0,23257.0,145.0,61.4,2.1,80.0,2.0,18660
811,, Sharan,Semi-Auto,Diesel,2013.0,52311.0,165.0,49.6,2.0,36.0,3.0,12489
-479,VW, Golf,Automatic,Petrol,2019.0,8000.0,145.0,36.2,2.0,125.36650692319192,3.0,33450
734,Opel, Insignia,Manual,Diesel,2018.0,23149.0,145.0,64.2,1.6,85.0,1.0,12500
-89,Ope, crossland x,Manual,Petrol,2019.0,4964.0,145.0,47.9,1.2,86.0,2.0,16999
764,Ford, Ka+,Manual,Petrol,2019.0,4777.0,145.0,43.5,1.2,54.0,1.0,10795
3316,Ford, Focus,Manual,Petrol,2017.0,30564.0,145.0,58.9,1.0,66.0,4.0,11795
-210,Skoda, Superb,Semi-Auto,etrol,2018.0,15000.0,145.0,43.5,2.0,32.0,,12490
3624,Ford, Fiesta,Semi-Auto,Petrol,,40478.0,145.0,47.9,1.6,55.0,2.0,7570
1770,BMW, 2 Series,Automatic,Other,2017.0,32389.0,0.0,141.2,1.5,47.0,0.0,16000
3317,Audi, Q3,,Petrol,2016.0,14997.0,125.0,50.4,1.4,60.0,2.0,16150
2171,BMW, 1 Series,Manual,Diesel,2015.0,49096.0,20.0,68.9,2.0,99.0,2.0,9799
238,, Fiesta,Manual,Petrol,2017.0,6732.0,150.0,64.2,1.1,64.0,2.0,9750
29,VW, Up,Manual,Petrol,2019.0,3000.0,145.0,54.3,1.0,47.0,4.0,9990
2722,Hyundai, Ioniq,Automatic,Hybrid,2020.0,5395.0,135.0,62.8,1.6,89.0,4.0,20995
1818,Ford, Mondeo,Automatic,Hybrid,2019.0,12145.0,135.0,47.9,2.0,57.0,3.0,25400
2580,BMW, 1 Series,Semi-Auto,Petrol,2016.0,9097.0,200.0,39.8,3.0,92.0,2.0,23412
1515,Mercedes, SL CLASS,Semi-Auto,Petrol,2017.0,16000.0,145.0,47.1,2.0,36.0,0.0,21500
1892,Opel, Insignia,,Diesel,2019.0,19196.0,145.0,53.3,2.0,72.0,2.0,15995
79,Opel, Viv,Manual,Petrol,2017.0,19923.0,20.0,62.8,1.0,34.0,0.0,5520
1200,Audi, A3,Semi-Auto,Petrol,2019.0,9316.0,,38.2,2.0,77.0,3.0,26184
1402,Hyundai, I10,Semi-Auto,Petrol,2015.0,25445.0,165.0,45.6,1.2,36.0,1.0,6950
1057,Ford, Galaxy,Semi-Auto,Diesel,2017.0,40838.0,145.0,52.3,2.0,59.0,1.0,18000
2805,Mercedes, A Class,Semi-Auto,Petrol,2020.0,1000.0,,53.3,1.3,34.0,3.0,25729
-280,pel, Crossland X,Manual,Petrol,2017.0,31067.0,145.0,58.9,1.2,88.0,4.0,9498
1522,Ford, Mondeo,Manual,Petrol,2017.0,10520.0,145.0,48.7,1.5,59.0,0.0,15700
533,Mercedes, C Class,Manual,Diesel,2015.0,31125.0,20.0,70.6,2.1,59.0,4.0,13498
-439,BMW, 2 Series,MANUAL,Petrol,2016.0,37537.0,125.0,,1.5,49.0,3.0,11499
-166,Opel, Corsa,anual,Petrol,2013.0,51972.0,125.0,51.4,1.2,91.0,2.0,4999
1055,Audi, A3,Semi-Auto,Petrol,2016.0,32272.0,200.0,40.4,2.0,34.0,4.0,21483
1197,Opel, Mokka X,Manual,Petrol,2019.0,20536.0,145.0,39.2,1.4,94.0,4.0,12799
3535,Audi, A5,Automatic,Diesel,2019.0,95204.18167360188,145.0,46.3,2.0,49.0,3.0,25000
828,Opel, Mokka X,Manual,Petrol,2019.0,9526.0,145.0,39.2,1.4,36.0,2.0,12994
1684,BMW, X1,Automatic,Diesel,2012.0,47152.0,200.0,45.6,,59.0,0.0,9199
1726,Toyota, Aygo,Manual,Petrol,2017.0,17817.0,0.0,69.0,1.0,57.0,2.0,6290
2279,Toyota, Aygo,Manual,Petrol,2018.0,28809.0,150.0,69.0,1.0,73.0,4.0,6798
1615,VW, Polo,Manual,Petrol,2017.0,23655.0,145.0,60.1,1.2,69.0,2.0,9995
1717,Opel, Astra,Manual,Petrol,2017.0,24379.0,145.0,51.4,1.4,49.0,3.0,9998
1406,Toyota, Yaris,Manual,Petrol,2018.0,27365.0,145.0,58.9,1.5,96.0,0.0,10291
1803,Audi, A3,Manual,Petrol,2016.0,18021.0,30.0,60.1,1.4,92.0,2.0,15700
2700,Mercedes, E Class,Automatic,Diesel,2017.0,15474.0,,72.4,2.0,32.0,1.0,19950
1231,Opel, Zafira,Automatic,Diesel,2014.0,30000.0,165.0,49.6,2.0,74.0,4.0,9250
877,Audi, A6,Automatic,Diesel,2015.0,79197.0,20.0,67.3,2.0,88.0,4.0,13990
296,Ford, kuga,Semi-Auto,Diesel,2016.0,11221.0,145.0,54.3,2.0,36.0,1.0,17698
3338,Ford, Fiesta,Manual,Petrol,2018.0,10970.0,145.0,58.9,1.0,86.0,1.0,10998
12,VW, Polo,Manual,Petrol,2016.0,14064.0,20.0,60.1,1.2,50.0,0.0,10499
3258,VW, Tiguan,Semi-Auto,Diesel,2017.0,52286.0,145.0,49.6,2.0,74.0,0.0,20981
567,Mercedes, C Class,Semi-Auto,Diesel,2017.0,28480.0,30.0,64.2,1.6,46.0,1.0,18499
893,Opel, Corsa,Manual,Petrol,2019.0,100.0,145.0,43.5,1.4,86.0,4.0,9990
2650,Audi, A4,Manual,Petrol,2017.0,22309.0,150.0,51.4,1.4,69.0,4.0,18101
879,BMW, 1 Series,Manual,Petrol,2016.0,41718.0,125.0,53.3,1.5,41.0,2.0,10690
-428,Toyota, Aygo,MANUAL,Petrol,2019.0,5000.0,145.0,56.5,1.0,69.0,0.0,9850
3929,Ford, EcoSport,Automatic,Petrol,2019.0,1080.0,145.0,44.1,1.0,98.0,2.0,17800
1362,Mercedes, glc class,Semi-Auto,Diesel,2017.0,15462.0,145.0,56.5,2.1,37.0,2.0,28980
-562,Ford, Focus,manual,Diesel,2017.0,16222.0,145.0,67.3,2.0,31.0,4.0,16899
1196,Ford, C-MAX,Manual,Petrol,2017.0,30557.0,160.0,44.1,1.6,80.0,1.0,9050
-516,Skoda, Octavia,Automati,Diesel,2019.0,702.0,150.0,67.3,2.0,34.0,0.0,18999
376,VW, Polo,Manual,Petrol,2019.0,19536.0,145.0,48.7,1.0,99.0,2.0,12140
2631,BMW, 2 Series,Semi-Auto,Petrol,2019.0,3748.0,145.0,47.9,2.0,92.0,0.0,21995
3649,Ford, Fiesta,Manual,Petrol,,11521.0,145.0,64.2,1.1,55.0,2.0,8900
1487,VW, Shuttle,Semi-Auto,Diesel,2019.0,8605.0,,32.8,2.0,66.0,0.0,29730
2249,VW,Passat,Manual,Diesel,2016.0,47839.0,20.0,68.9,2.0,1.7694736373257314,0.0,11300
-28,Mercedes, C Class,Semi-Aut,Diesel,2019.0,6750.0,,,2.0,88.0,4.0,31149
2439,Toyota, Yaris,Automatic,Hybrid,2017.0,7469.0,,76.3,1.5,43.0,2.0,13498
-600,BMW, 2 Series,Manual,etrol,2019.0,1000.0,145.0,52.3,1.5,71.0,4.0,20980
705,BMW, 2 Series,Semi-Auto,Diesel,2020.0,100.0,,49.6,2.0,63.0,2.0,35250
2083,Ford, Mustang,Automatic,Petrol,2017.0,24000.0,150.0,23.5,5.0,39.0,4.0,29980
2227,BMW, 1 Series,Automatic,Petrol,2019.0,7381.0,145.0,34.5,2.0,35.0,3.0,30700
2078,Hyundai, I30,Manual,Petrol,2018.0,8265.0,145.0,52.3,1.4,46.0,1.0,14000
2518,Ford, Fiesta,Manual,Petrol,2017.0,18077.0,145.0,62.8,1.0,77.0,0.0,10499
2648,Hyundai, Kona,Automatic,Hybrid,2020.0,7000.0,135.0,52.3,1.6,55.0,0.0,15399
1052,Ford, Focus,Manual,Diesel,2017.0,36789.0,0.0,,1.5,93.0,4.0,10050
3554,VW, Polo,Semi-Auto,Petrol,2019.0,3624.0,145.0,39.8,2.0,32.0,1.0,18991
151,BMW, 3 Series,Manual,Diesel,2018.0,38631.0,,62.8,2.0,58.0,3.0,15490
3937,Mercedes, GLA Class,Automatic,Petrol,2019.0,3099.0,145.0,35.8,3.723712168624484,76.0,2.0,30000
633,Opel, Astra,Automatic,Petrol,2014.0,17600.0,240.0,39.8,1.6,80.0,0.0,8495
2980,Toyota, Aygo,Manual,Petrol,2018.0,19558.0,,,1.0,84.0,0.0,8495
3924,Audi, A3,Semi-Auto,Petrol,2019.0,5000.0,145.0,39.2,2.0,77.0,4.0,26950
2748,Hyundai, Tucson,Manual,Petrol,2017.0,25053.0,,38.7,1.6,42.0,4.0,15390
2135,BMW, M4,Semi-Auto,Petrol,2019.0,1501.0,145.0,32.5,3.0,57.0,4.0,46000
3528,Opel, Corsa,Manual,Petrol,2017.0,25646.0,,81.56893960820311,1.4,87.0,1.0,6999
3595,Opel, Mokka,Manual,Petrol,2016.0,8638.0,200.0,40.9,,34.0,4.0,9999
3049,Audi, A4,Automatic,Diesel,2016.0,120470.0,30.0,61.4,2.0,61.0,1.0,12795
1833,Opel, Insignia,Manual,Diesel,2016.0,20184.0,0.0,74.3,1.6,98.0,0.0,8688
3646,VW, Polo,Manual,Petrol,2016.0,29549.0,20.0,60.1,1.0,47.0,1.0,7875
3814,Opel, Corsa,Manual,Petrol,2017.0,7472.0,30.0,54.3,1.4,82.0,3.0,9999
807,VW, Polo,Manual,Petrol,2016.0,21280.0,20.0,60.1,1.2,47.0,4.0,9190
-204,VW, Up,Manual,etrol,2017.0,18581.0,145.0,64.2,1.0,77.0,3.0,6745
3887,VW, Golf,Manual,Petrol,2013.0,47941.0,,58.9,2.9857934392613865,68.0,3.0,10990
2602,Mercedes, E Class,Semi-Auto,Diesel,2016.0,25837.0,145.0,53.3,3.0,64.0,2.0,20480
534,, Focus,Manual,Diesel,2018.0,12898.0,145.0,74.3,1.5,73.0,4.0,16000
-445,V, Pol,Manual,Petrol,2017.0,9500.0,145.0,61.4,1.4,75.0,1.0,12599
230,Opel, Mokka,Manual,Diesel,2015.0,48244.0,,68.9,1.6,67.0,4.0,8150
-305,Ford, Fiesta,Manual,petrol,2017.0,17766.0,145.0,65.7,1.0,59.0,4.0,11495
2042,BMW, 4 Series,Automatic,Diesel,2017.0,63197.0,160.0,,3.0,36.0,0.0,18000
-438,Audi, A3,Manual,Diese,2016.0,37235.0,-60.68409479537365,74.3,1.6,69.0,0.0,11000
-547,Ford, EcoSport,Manual,Petrol,2023.1169636020995,8480.0,145.0,53.3,1.0,65.0,0.0,14950
-256,Ope, Corsa,,Petrol,2018.0,6794.0,145.0,55.4,1.4,94.0,2.0,7999
2302,Skoda,Octavia,Automatic,Diesel,2017.0,36751.0,,57.7,2.0,86.0,3.0,16800
2638,Ford, Focus,Manual,Petrol,2019.0,20893.0,150.0,60.1,1.0,87.0,0.0,14400
2789,Opel, Astra,Manual,Diesel,2016.0,26592.0,20.0,72.4,1.6,94.0,2.0,8903
-164,Ford, Focus,anual,Diesel,2016.0,22220.0,0.0,74.3,1.5,34.0,2.0,11795
842,Ford, Focus,Manual,Petrol,2019.0,5600.0,145.0,,1.0,97.0,1.0,15495
944,Opel, mokka x,Manual,Petrol,2018.0,83688.65539191502,145.0,47.1,1.4,84.0,1.0,11245
596,VW, Golf,Manual,Petrol,2018.0,11380.0,145.0,37.7,2.0,37.0,4.0,21747
486,Ford, B-MAX,Manual,Diesel,2013.0,42996.0,20.0,70.6,1.6,99.0,2.0,5995
2684,BMW, X1,Semi-Auto,Petrol,2019.0,2701.0,150.0,39.8,2.0,40.0,1.0,29995
354,Opel, Adam,Manual,Petrol,2015.0,8500.0,125.0,53.3,1.2,97.0,0.0,7995
-76,koda, Yeti Outdoor,unknown,Petrol,2017.0,27800.0,125.0,51.4,,98.0,3.0,12995
3733,Toyota, Yaris,Manual,Petrol,2018.0,18610.0,150.0,56.5,1.5,42.0,3.0,11885
3076,Ford, C-MAX,Automatic,Diesel,2016.0,82584.13442011928,20.0,64.2,1.5,62.0,2.0,11497
-16,pel, Astra,Automatic,Petrol,2017.0,20000.0,125.0,50.4,1.4,47.0,1.0,11990
2661,VW, Up,Manual,Petrol,2020.0,5000.0,145.0,54.3,1.0,85.0,2.0,10815
-334,mercedes, C Class,Automatic,Diesel,2019.0,1000.0,,,2.0,90.0,0.0,32069
2578,VW, Touran,Semi-Auto,Diesel,2018.0,,145.0,49.6,1.6,66.0,4.0,19690
1721,Opel, Corsa,Manual,Petrol,2015.0,18009.0,30.0,55.4,1.4,61.0,2.0,6998
-230,VW, CC,Semi-Auto,Diese,2014.0,46961.0,145.0,53.3,2.0,81.0,2.0,10298
3238,Opel, Astra,Automatic,Diesel,2017.0,19728.0,125.0,61.4,1.6,60.0,2.0,10799
2673,VW, Polo,Semi-Auto,Petrol,2019.0,3487.0,150.0,,1.0,68.0,4.0,17495
731,VW, Touareg,Semi-Auto,Diesel,2016.0,31713.0,240.0,42.8,3.0,87.0,0.0,21995
157,Toyota, AYGO,Manual,Petrol,2017.0,31877.0,0.0,69.0,1.0,95.0,4.0,6450
-131,Ford, Focus,Manual,PETROL,2018.0,36347.0,,,1.0,48.0,0.0,10189
465,BMW, M3,Semi-Auto,Petrol,2017.0,21431.0,150.0,34.0,3.0,97.0,2.0,37970
829,Hyundai, I10,Automatic,Petrol,2017.0,12455.0,150.0,47.9,1.2,38.0,4.0,10999
843,Mercedes, S Class,Semi-Auto,Diesel,2016.0,31210.0,200.0,47.9,3.0,31.0,2.0,28980
-106,Mercedes, C Class,Semi-Auto,Diesel,2011.2108534904105,22557.0,30.0,62.8,2.1,50.0,3.0,18750
2174,Audi, Q3,Semi-Auto,Diesel,2017.0,17787.0,150.0,53.3,2.0,53.0,2.0,20690
2907,Mercedes, A Class,Automatic,Petrol,2017.0,1755.0,145.0,24.8,4.0,76.0,1.0,109495
881,Toyota, C-HR,Automatic,Hybrid,2017.0,27893.0,135.0,74.3,1.8,62.0,2.0,19298
2555,Audi, Q2,Semi-Auto,Petrol,2019.0,3934.0,145.0,33.2,2.0,49.0,1.0,31500
-597,OPEL, Zafira,Manual,Petrol,2017.0,17804.0,200.0,41.5,1.4,32.0,3.0,10995
3096,Audi, A1,Manual,Petrol,2016.0,20905.0,30.0,56.5,1.4,48.0,0.0,14495
1018,VW, Golf,Semi-Auto,Diesel,2016.0,43086.0,30.0,62.8,2.0,57.0,4.0,15698
2696,Ford, Focus,Automatic,Petrol,2019.0,2314.0,145.0,39.2,1.5,38.0,0.0,21350
3131,Audi, A1,Manual,Diesel,2018.0,37074.0,145.0,,1.6,77.0,0.0,12495
2669,Toyota, Yaris,Manual,Petrol,2018.0,10525.0,145.0,58.9,1.5,86.0,0.0,10298
471,Mercedes,C Class,Automatic,Diesel,2018.0,34008.0,145.0,61.4,2.1,75.0,2.0,19999
315,Opel, Mokka X,Manual,Petrol,2019.0,12051.0,145.0,,1.4,53.0,2.0,12998
